timestamp,accel_x,accel_y,accel_z
15318,-7.98,-11.62,11.02
15341,-11.39,-7.15,13.59
15365,-4.70,6.45,9.86
15388,5.54,11.56,10.40
15412,10.62,7.86,13.57
15435,7.19,-1.36,8.95
15459,-4.68,-10.62,8.94
15482,-11.13,-10.06,13.85
15506,-7.77,2.38,10.20
15529,0.85,10.55,10.07
15553,10.84,10.36,13.38
15576,9.37,2.15,11.10
15600,-0.95,-8.80,7.19
15623,-9.76,-11.54,12.60
15647,-9.76,-1.01,11.26
15670,-1.71,9.09,9.90
15694,10.86,11.44,12.87
15717,9.87,3.77,12.04
15741,-0.50,-8.52,6.76
15764,-9.79,-11.56,12.47
15788,-9.67,-0.90,11.31
15811,-1.23,9.20,9.86
15835,11.10,11.26,13.12
15859,9.63,3.35,11.80
15882,-1.16,-8.88,6.88
15906,-10.19,-11.68,12.73
15929,-9.39,-0.29,11.08
15953,-1.04,9.48,9.90
15976,10.92,11.01,13.02
16000,9.82,3.86,12.12
16023,0.01,-8.09,6.74
16047,-9.07,-11.60,11.92
16070,-10.35,-2.40,11.85
16094,-3.39,7.55,9.86
16117,9.81,12.04,11.92
16141,10.48,6.41,13.30
16164,3.38,-5.31,7.08
16188,-6.05,-11.17,9.51
16211,-11.31,-6.25,13.38
16234,-9.19,0.06,10.97
16257,2.61,10.93,10.14
16281,10.62,11.24,12.73
16304,8.61,1.27,10.51
16328,-1.76,-9.17,7.35
16351,-9.83,-11.63,12.84
16375,-9.81,-1.17,11.42
16398,-3.24,7.92,9.95
16422,9.72,11.55,11.79
16445,10.48,6.75,13.25
16469,3.76,-4.88,7.15
16493,-5.29,-10.88,9.14
16516,-11.36,-7.09,13.69
16540,-7.78,2.28,10.27
16563,4.11,11.25,10.31
16587,10.63,10.58,12.98
16610,8.38,0.74,10.09
16634,1.43,-6.96,6.84
16657,-9.80,-11.40,12.92
16681,-11.06,-5.02,12.99
16704,-3.45,7.84,9.92
16728,6.10,11.66,10.56
16751,10.58,7.12,13.45
16775,7.50,-0.63,9.26
16798,-3.54,-9.89,8.22
16822,-10.30,-10.82,13.52
16845,-9.29,-0.21,11.00
16869,-2.59,8.42,9.96
16892,9.56,11.22,11.86
16916,10.42,6.81,13.30
16939,4.96,-3.81,7.60
16963,-3.27,-10.02,8.35
16986,-11.10,-8.83,14.05
17010,-9.44,-0.53,11.12
17033,0.75,10.04,10.10
17057,9.39,11.36,11.73
17080,9.81,3.85,12.04
17104,4.94,-3.86,7.60
17128,-6.94,-11.20,10.54
17151,-11.17,-8.54,14.01
17175,-6.76,3.54,10.00
17198,1.73,10.39,10.13
17222,10.69,10.02,13.36
17245,9.33,2.67,11.41
17269,0.04,-8.03,6.97
17292,-8.52,-11.52,11.66
17316,-10.59,-3.50,12.44
17339,-5.15,5.81,9.90
17363,7.74,11.78,10.89
17386,10.31,5.98,13.15
17410,6.56,-1.81,8.49
17433,-4.75,-10.51,9.00
17457,-10.79,-10.40,13.82
17480,-8.58,0.87,10.65
17504,-1.64,9.19,10.02
17527,9.96,11.27,12.19
17551,10.34,5.78,13.02
17574,4.24,-4.29,7.31
17598,-4.11,-10.38,8.76
17621,-11.13,-8.41,14.00
17645,-9.28,-0.17,11.02
17668,1.06,9.89,10.10
17692,9.47,11.54,11.83
17716,9.75,3.72,11.97
17739,4.93,-3.80,7.60
17763,-6.80,-11.18,10.41
17786,-11.07,-8.86,14.06
17810,-7.26,2.87,10.12
17833,0.59,9.66,10.09
17857,10.46,10.69,12.89
17880,9.91,4.34,12.23
17904,2.23,-6.35,6.93
17927,-6.19,-10.82,9.99
17951,-11.13,-6.58,13.62
17974,-7.98,1.74,10.34
17998,3.35,10.50,10.18
18021,10.08,11.08,12.49
18045,9.24,2.33,11.18
18068,3.97,-4.77,7.29
18092,-7.31,-11.07,11.02
18115,-11.20,-8.47,13.95
18139,-7.11,3.05,10.05
18162,0.14,9.85,10.04
18186,10.39,10.61,12.83
18209,9.97,4.60,12.44
18233,3.04,-5.40,7.09
18256,-5.14,-10.83,9.46
18280,-11.15,-7.66,13.79
18304,-8.63,0.84,10.70
18327,2.08,10.62,10.12
18351,9.91,11.29,12.13
18374,9.41,2.94,11.59
18398,1.29,-6.83,6.90
18421,-6.99,-11.23,10.58
18445,-10.98,-5.86,13.32
18468,-7.43,2.40,10.21
18492,4.01,10.91,10.26
18515,10.33,10.72,12.74
18539,8.81,1.66,10.73
18562,2.98,-5.48,7.02
18586,-8.36,-11.47,11.72
18609,-11.03,-7.31,13.85
18633,-6.18,4.32,9.97
18656,1.71,9.93,10.13
18680,10.46,10.23,13.15
18703,9.69,3.97,12.00
18727,2.36,-6.17,7.00
18750,-5.67,-10.71,9.75
18774,-11.14,-7.30,13.70
18797,-8.65,0.77,10.70
18821,1.36,10.26,10.15
18844,9.31,10.77,11.74
18868,9.79,4.71,12.26
18891,6.02,-2.61,8.17
18915,-4.37,-10.21,9.17
18938,-10.18,-10.57,13.57
18962,-9.62,-1.08,11.22
18986,-0.42,9.15,10.13
19010,8.00,11.37,11.04
19033,10.23,6.25,13.01
19057,7.54,-0.83,9.31
19080,-1.98,-8.96,7.96
19104,-8.81,-11.12,12.53
19127,-10.62,-3.76,12.27
19151,-5.88,4.75,9.98
19174,5.49,11.28,10.41
19198,10.33,9.86,12.95
19221,8.67,1.34,10.55
19245,3.56,-4.83,7.26
19268,-7.14,-11.08,11.02
19292,-10.86,-9.09,13.98
19315,-7.98,1.81,10.36
19339,-1.63,8.83,10.01
19362,9.51,10.59,11.92
19386,10.25,7.25,13.29
19409,5.82,-2.68,8.10
19433,-1.14,-8.71,7.62
19456,-10.21,-10.55,13.62
19480,-10.74,-4.32,12.65
19503,-3.88,7.11,9.89
19527,4.46,10.78,10.27
19550,10.42,8.46,13.49
19574,7.53,-0.24,9.32
19598,1.45,-6.94,7.10
19621,-8.75,-11.29,12.48
19645,-11.06,-6.79,13.61
19668,-5.90,4.53,9.93
19692,1.67,10.08,10.07
19715,10.28,9.90,12.99
19739,9.90,4.48,12.33
19762,3.53,-4.98,7.29
19786,-3.70,-9.89,8.81
19809,-10.84,-9.19,13.92
19833,-9.95,-2.03,11.65
19856,-1.72,8.68,9.98
19880,7.00,11.23,10.68
19903,10.32,7.03,13.35
19927,7.84,0.19,9.75
19950,-1.21,-8.61,7.55
19974,-8.36,-11.23,11.95
