timestamp,accel_x,accel_y,accel_z
19677,-2.81,-3.18,10.07
19700,0.61,-3.17,11.52
19724,3.06,-0.11,11.72
19747,-1.48,-1.37,10.64
19771,-2.57,-3.74,10.43
19794,2.29,-1.44,11.61
19818,2.23,0.53,11.38
19841,-2.73,-3.04,10.03
19865,-0.90,-4.23,11.35
19888,2.94,0.00,11.61
19912,-0.69,-0.50,10.83
19935,-1.79,-4.32,11.03
19959,2.31,-1.32,11.68
19982,0.25,0.29,10.90
20006,-2.86,-3.28,10.01
20029,1.58,-2.14,11.64
20053,2.69,0.23,11.50
20076,-2.53,-2.77,10.20
20100,-1.58,-4.40,11.17
20123,3.07,-0.35,11.72
20147,0.46,0.49,10.93
20170,-2.59,-3.80,10.39
20194,0.84,-3.03,11.54
20217,2.08,0.60,11.31
20241,-1.85,-1.89,10.47
20264,-0.88,-4.29,11.35
20288,2.80,-0.79,11.71
20311,-0.30,-0.10,10.87
20335,-2.16,-4.18,10.80
20359,1.64,-2.13,11.57
20382,1.40,0.72,11.08
20406,-2.41,-2.63,10.23
20430,-0.03,-3.82,11.46
20453,2.69,0.24,11.50
20477,-1.08,-1.00,10.74
20500,-1.68,-4.39,11.09
